,index,userId,movieId,rating,timestamp,userIdEncoded,movieIdEncoded,mean_rating
62217,91834,596,2094,3.5,1535712071,595,506,3.2564102564102564
58084,86085,559,543,2.0,845476259,558,164,3.317073170731707
14852,21163,140,648,4.0,949667466,139,189,3.537037037037037
62463,92201,597,376,4.0,941729824,596,125,3.25
20882,29679,202,2916,3.0,974918744,201,644,3.653409090909091
24276,34596,232,53322,3.5,1218167101,231,1065,3.484848484848485
14001,20093,132,3148,3.0,1157979076,131,683,3.75
48116,71054,453,3409,3.0,972622274,452,716,2.9285714285714284
51875,77368,483,1246,3.5,1178358678,482,326,3.9593023255813953
35436,51357,331,134130,4.0,1537157864,330,1227,4.0
13267,19046,122,72998,4.5,1461561389,121,1128,3.6030927835051547
35995,52052,339,1231,5.0,1460518764,338,319,3.8636363636363638
5135,7197,50,3462,3.5,1514239123,49,723,3.72
32544,47024,307,2012,3.0,1186085741,306,485,3.3693181818181817
22434,31935,219,30793,3.0,1194931999,218,990,3.0
58731,86911,561,8644,2.5,1491091285,560,967,3.4918032786885247
62315,91943,596,6870,3.0,1535708513,595,927,3.7115384615384617
15202,21781,141,4979,3.5,1513130978,140,847,3.6838235294117645
57029,84534,543,364,5.0,1377069286,542,118,3.941860465116279
61702,91151,590,31685,3.5,1258419998,589,995,3.1666666666666665
47656,70519,449,32,4.0,1053200119,448,17,3.983050847457627
14360,20525,135,2599,3.0,1009691873,134,597,3.6607142857142856
17717,25029,177,1084,3.5,1435534787,176,271,4.071428571428571
38614,55563,368,1387,5.0,971273335,367,384,4.0054945054945055
61475,90810,590,2186,4.0,1258783020,589,526,3.98
6520,9216,63,1210,4.5,1443199768,62,306,4.137755102040816
38994,56144,372,48,2.0,874416616,371,24,3.1470588235294117
35046,50957,330,50,5.0,1285904637,329,25,4.237745098039215
64331,96075,602,527,5.0,840875779,601,159,4.225
3001,4297,28,1266,4.5,1234338735,27,340,4.111111111111111
32133,46279,305,45447,3.0,1460136668,304,1032,3.122448979591837
37499,54037,356,7143,3.5,1229143596,355,939,3.903225806451613
19171,27468,186,2987,5.0,1031080896,185,656,3.5721649484536084
65849,99072,608,2628,4.0,1117408301,607,602,3.107142857142857
4779,6731,45,2791,4.0,950723611,44,631,3.8563218390804597
4453,6333,43,110,3.0,848993747,42,37,4.031645569620253
53638,79790,496,109374,4.0,1415520463,495,1203,3.7788461538461537
3560,5173,33,2396,4.0,939647444,32,563,3.777173913043478
24239,34462,232,41566,3.5,1218166212,231,1022,3.443548387096774
49932,73661,474,2018,3.0,983032248,473,487,3.3684210526315788
12926,18622,119,48774,4.0,1453664029,118,1049,3.9453125
28793,41298,280,2485,3.5,1348435130,279,582,2.8448275862068964
26806,38250,263,282,4.0,940384910,262,90,3.3375
16626,23695,161,4995,3.0,1176498512,160,849,4.0
36433,52654,345,11,2.5,1342828883,344,7,3.6714285714285713
58013,86000,559,107,3.0,845476830,558,36,3.326923076923077
48712,71897,462,48774,4.0,1171464879,461,1049,3.9453125
36683,53017,350,1,4.0,864940931,349,0,3.9209302325581397
64557,96514,603,1690,4.0,963177792,602,433,2.922222222222222
3782,5434,38,480,3.0,841341296,37,148,3.75
21319,30291,212,1207,3.5,1490115049,211,304,4.120689655172414
60278,89300,579,2724,4.0,958882219,578,624,2.8333333333333335
52165,77748,483,34319,2.5,1178294456,482,1007,3.3548387096774195
41970,60958,394,588,2.0,838994173,393,174,3.7923497267759565
10903,15489,101,2997,5.0,968440850,100,660,3.9545454545454546
29344,41952,286,6365,1.5,1119564154,285,909,3.3541666666666665
64056,95665,600,4718,1.5,1237709944,599,831,3.066666666666667
4623,6545,45,589,5.0,950726569,44,175,3.970982142857143
49572,73056,473,262,3.5,1169351236,472,83,3.9047619047619047
65274,98034,606,4848,3.5,1180224015,605,837,3.843137254901961
48086,71010,453,2700,5.0,972622556,452,613,3.861842105263158
46038,67413,436,420,3.0,833529639,435,132,2.7203389830508473
17462,24730,172,1270,4.0,1291065641,171,343,4.038011695906433
48352,71359,458,110,5.0,845651761,457,37,4.031645569620253
48778,72044,464,260,5.0,1275548679,463,81,4.231075697211155
58681,86843,561,4571,4.0,1491092172,560,825,3.7
4222,5970,42,593,5.0,996217838,41,178,4.161290322580645
47321,69174,448,3263,4.0,1019131482,447,698,3.0454545454545454
22879,32574,221,30810,4.0,1121365406,220,991,3.4864864864864864
43263,62732,414,1213,5.0,961516639,413,308,4.25
53347,79417,493,6,4.0,1001562846,492,4,3.946078431372549
45931,67289,434,51662,3.5,1270606506,433,1057,3.68125
53535,79631,495,7458,4.0,1458636037,494,954,3.4270833333333335
45788,67142,434,1206,4.5,1271039384,433,303,3.995833333333333
61345,90655,590,1097,4.5,1258420584,589,280,3.7663934426229506
60864,90031,585,6016,5.0,1307417172,584,899,4.1466666666666665
58453,86590,561,44,2.0,1491091620,560,21,2.5434782608695654
62842,92784,599,380,3.0,1519122884,598,128,3.497191011235955
31675,45736,304,32,4.0,881427991,303,17,3.983050847457627
66465,100114,610,30812,4.5,1479542167,609,992,3.5285714285714285
61818,91297,591,3897,3.0,972086497,590,769,3.8674698795180724
28903,41462,282,10,3.5,1378497072,281,6,3.496212121212121
17456,24724,172,590,3.5,1291065643,171,176,3.8353658536585367
58198,86208,560,2541,4.0,1469649001,559,590,3.225
20480,29157,200,6708,3.0,1229887584,199,920,3.7205882352941178
58355,86411,560,45722,3.5,1469650083,559,1037,3.5069444444444446
